Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
56,tt0112230,2020-04-21,2020-04-21,,Xena: Warrior Princess,https://www.imdb.com/title/tt0112230/,tvSeries,6.7,45,1995,"Action, Adventure, Drama, Fantasy",40105,1995-09-04,
57,tt0110015,2020-04-21,2020-04-21,,Hercules and the Amazon Women,https://www.imdb.com/title/tt0110015/,tvMovie,6.5,91,1994,"Action, Adventure, Fantasy",2735,1994-04-25,Bill Norton
58,tt0110017,2020-04-21,2020-04-21,,Hercules: The Legendary Journeys - Hercules and the Lost Kingdom,https://www.imdb.com/title/tt0110017/,tvMovie,6.7,91,1994,"Action, Adventure, Fantasy",2133,1994-05-02,Harley Cokeliss
59,tt0110016,2020-04-21,2020-04-21,,Hercules: The Legendary Journeys - Hercules and the Circle of Fire,https://www.imdb.com/title/tt0110016/,tvMovie,6.6,91,1994,"Action, Adventure, Fantasy",1959,1994-10-31,Doug Lefler
60,tt0076716,2017-09-05,2017-09-05,,Sinbad and the Eye of the Tiger,https://www.imdb.com/title/tt0076716/,movie,6.4,113,1977,"Action, Adventure, Family, Fantasy",6589,1977-07-14,Sam Wanamaker
61,tt2034800,2020-03-27,2020-03-27,,The Great Wall,https://www.imdb.com/title/tt2034800/,movie,5.9,103,2016,"Action, Adventure, Fantasy, Thriller",120155,2016-12-06,Yimou Zhang
62,tt1335975,2020-02-19,2020-02-19,,47 Ronin,https://www.imdb.com/title/tt1335975/,movie,6.3,128,2013,"Action, Drama, Fantasy",141854,2013-12-06,Carl Rinsch
63,tt0039826,2017-09-05,2017-09-05,,"Sinbad, the Sailor",https://www.imdb.com/title/tt0039826/,movie,6.2,116,1947,"Adventure, Fantasy, Romance",1736,1947-01-13,Richard Wallace
64,tt0056904,2017-09-05,2017-09-05,,Captain Sindbad,https://www.imdb.com/title/tt0056904/,movie,5.6,85,1963,"Action, Adventure, Family, Fantasy",835,1963-04-13,Byron Haskin
65,tt1351685,2017-08-15,2017-08-15,,Jack the Giant Slayer,https://www.imdb.com/title/tt1351685/,movie,6.2,114,2013,"Adventure, Fantasy",128254,2013-02-27,Bryan Singer
66,tt0083630,2017-08-15,2017-08-15,,The Beastmaster,https://www.imdb.com/title/tt0083630/,movie,6.2,118,1982,"Action, Adventure, Fantasy",19452,1982-08-16,Don Coscarelli
67,tt0085811,2017-08-15,2017-08-15,,Krull,https://www.imdb.com/title/tt0085811/,movie,6.1,116,1983,"Action, Adventure, Fantasy, Sci-Fi",29204,1983-07-29,Peter Yates
68,tt0355295,2017-08-15,2017-08-15,,The Brothers Grimm,https://www.imdb.com/title/tt0355295/,movie,5.9,118,2005,"Action, Adventure, Comedy, Fantasy, Horror, Mystery, Thriller",113843,2005-08-26,Terry Gilliam
69,tt0816462,2017-08-15,2017-08-15,,Conan the Barbarian,https://www.imdb.com/title/tt0816462/,movie,5.2,113,2011,"Action, Adventure, Fantasy",93437,2011-08-11,Marcus Nispel
70,tt0803096,2017-08-21,2017-08-21,,Warcraft,https://www.imdb.com/title/tt0803096/,movie,6.8,123,2016,"Action, Adventure, Fantasy",235708,2016-05-24,Duncan Jones
71,tt0110018,2020-04-21,2020-04-21,,Hercules in the Maze of the Minotaur,https://www.imdb.com/title/tt0110018/,tvMovie,6.3,90,1994,"Action, Adventure, Fantasy",1850,1994-11-14,Josh Becker
72,tt0110019,2020-04-21,2020-04-21,,Hercules in the Underworld,https://www.imdb.com/title/tt0110019/,tvMovie,6.6,90,1994,"Action, Adventure, Fantasy",1611,1994-11-07,Bill Norton
73,tt0817532,2020-04-21,2020-04-21,,Xena: Warrior Princess - A Friend in Need (The Director's Cut),https://www.imdb.com/title/tt0817532/,tvMiniSeries,7.5,100,2002,"Action, Adventure, Drama, Fantasy",993,2002-03-26,
