Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
92,tt1833844,2018-04-14,2018-04-14,,Berberian Sound Studio,https://www.imdb.com/title/tt1833844/,movie,6.2,92,2012,"Drama, Horror, Thriller",13924,2012-06-28,Peter Strickland
93,tt1531901,2018-04-14,2018-04-14,,Byzantium,https://www.imdb.com/title/tt1531901/,movie,6.5,118,2012,"Drama, Fantasy, Horror, Thriller",39868,2012-09-09,Neil Jordan
94,tt1259521,2018-04-14,2018-04-14,,The Cabin in the Woods,https://www.imdb.com/title/tt1259521/,movie,7.0,95,2011,Horror,360083,2011-12-11,Drew Goddard
95,tt1783732,2018-04-14,2018-04-14,,John Dies at the End,https://www.imdb.com/title/tt1783732/,movie,6.4,99,2012,"Comedy, Fantasy, Horror, Sci-Fi",35409,2012-01-23,Don Coscarelli
96,tt2294473,2018-04-14,2018-04-14,,Aku no kyôten,https://www.imdb.com/title/tt2294473/,movie,6.6,129,2012,"Horror, Thriller",5130,2012-11-09,Takashi Miike
97,tt2103217,2018-04-14,2018-04-14,,Maniac,https://www.imdb.com/title/tt2103217/,movie,6.1,89,2012,"Horror, Thriller",34047,2012-05-26,Franck Khalfoun
98,tt1977895,2019-03-31,2019-03-31,,Resolution,https://www.imdb.com/title/tt1977895/,movie,6.4,93,2012,"Drama, Horror, Mystery, Thriller",12875,2012-04-22,"Aaron Moorhead, Justin Benson"
99,tt1555093,2018-04-14,2018-04-14,,The Seasoning House,https://www.imdb.com/title/tt1555093/,movie,6.1,90,2012,"Drama, Horror, Thriller",9121,2012-08-23,Paul Hyett
100,tt2023690,2018-04-14,2018-04-14,,Sightseers,https://www.imdb.com/title/tt2023690/,movie,6.5,88,2012,"Adventure, Comedy, Crime, Horror, Romance",25883,2012-05-23,Ben Wheatley
101,tt1922777,2018-04-14,2018-04-14,,Sinister,https://www.imdb.com/title/tt1922777/,movie,6.8,110,2012,"Horror, Mystery, Thriller",209773,2012-03-11,Scott Derrickson
